pyowl-core measured profile v1
phase: wire-encode
corpus: generated-large-functional
corpus_sha256: 5852a3bfc6c5d76147ef7ee4b29328cd87c9efcca0ef48ec7d7d86e23c1e8c43
manifest_sha256: 1059cde0173e9d9f787d16596158b6a134508740b9c27a87e786db11caf5b928
backend: python
iterations: 1
output_fingerprint: 585430966d903bce45e5b7d93f3d7d7a39e3e0c874f40fb06b8910c2c9196e04
git_commit: 3c71a615d60a0339cdd62a1ce47f81175799b69c
python: {'version': '3.12.3', 'implementation': 'CPython', 'executable': '.venv/bin/python', 'compiler': 'Clang 15.0.0 (clang-1500.3.9.4)', 'pyowl_core': '0.1.0.dev0'}
profiler: cProfile; validation excluded from profile

         16844409 function calls (16594438 primitive calls) in 12.620 seconds

   Ordered by: cumulative time
   List reduced from 168 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   12.673   12.673 profile.py:151(<lambda>)
        1    0.006    0.006   12.670   12.670 codec.py:221(encode_snapshot)
        1    0.464    0.464   12.552   12.552 codec.py:566(_collect_sections)
   109992    0.259    0.000    8.759    0.000 canonical.py:103(canonical_bytes)
289968/109992    2.284    0.000    7.650    0.000 canonical.py:109(_encode_node)
       10    0.024    0.002    3.516    0.352 codec.py:1043(_write_references)
    30001    0.042    0.000    3.445    0.000 codec.py:1053(_node_id)
        1    0.000    0.000    2.246    2.246 codec.py:744(_document_row)
   239973    0.645    0.000    1.993    0.000 canonical.py:154(_encode_scalar_component)
  5079517    1.425    0.000    1.820    0.000 {built-in method builtins.isinstance}
   759918    1.186    0.000    1.716    0.000 canonical.py:85(encode_varint)
   419949    0.406    0.000    1.412    0.000 canonical.py:99(_framed)
    99992    0.550    0.000    1.367    0.000 visitor.py:75(walk)
        1    0.002    0.002    1.274    1.274 codec.py:824(_view_row)
   109992    0.301    0.000    0.824    0.000 canonical.py:43(from_limits)
   529944    0.498    0.000    0.818    0.000 registry.py:247(constructor_spec)
    99990    0.249    0.000    0.753    0.000 codec.py:705(_sequence_descriptors)
   329976    0.290    0.000    0.490    0.000 canonical.py:78(_limit)
   139984    0.192    0.000    0.480    0.000 visitor.py:64(iter_children)
    79992    0.203    0.000    0.461    0.000 codec.py:698(_collect_scalar_strings)
   419953    0.193    0.000    0.395    0.000 <frozen abc>:117(__instancecheck__)
        1    0.105    0.105    0.371    0.371 codec.py:907(_origin_rows)
  1129886    0.313    0.000    0.313    0.000 {built-in method builtins.getattr}
   675033    0.286    0.000    0.286    0.000 {method 'extend' of 'bytearray' objects}
   759918    0.228    0.000    0.228    0.000 {method 'append' of 'bytearray' objects}
695063/625069    0.194    0.000    0.228    0.000 {built-in method builtins.len}
   319979    0.226    0.000    0.226    0.000 {method 'encode' of 'str' objects}
   419953    0.203    0.000    0.203    0.000 {built-in method _abc._abc_instancecheck}
   529944    0.189    0.000    0.189    0.000 {built-in method builtins.issubclass}
   209974    0.122    0.000    0.181    0.000 enum.py:202(__get__)
   479955    0.178    0.000    0.178    0.000 {method 'add' of 'set' objects}
   100018    0.079    0.000    0.155    0.000 _binary.py:113(u64)
    79992    0.104    0.000    0.144    0.000 {method 'extend' of 'list' objects}
    79992    0.085    0.000    0.143    0.000 codec.py:680(_model_section)
   369960    0.134    0.000    0.134    0.000 {method 'remove' of 'set' objects}
   449952    0.119    0.000    0.119    0.000 {built-in method builtins.id}
   289968    0.091    0.000    0.091    0.000 canonical.py:51(enter)
   160058    0.067    0.000    0.067    0.000 {built-in method _struct.pack}
    10037    0.048    0.000    0.067    0.000 {built-in method builtins.sorted}
    90008    0.041    0.000    0.065    0.000 base.py:84(__iter__)
       14    0.033    0.002    0.060    0.004 _binary.py:260(encode_table)
   209974    0.059    0.000    0.059    0.000 enum.py:1292(value)
   159984    0.059    0.000    0.059    0.000 {method 'pop' of 'list' objects}
    19998    0.013    0.000    0.054    0.000 codec.py:916(<genexpr>)
    40016    0.027    0.000    0.051    0.000 _binary.py:110(u32)
    20008    0.023    0.000    0.050    0.000 _binary.py:104(u8)
    69993    0.033    0.000    0.049    0.000 base.py:87(__len__)
       10    0.009    0.001    0.044    0.004 _binary.py:119(ids)
   139984    0.039    0.000    0.039    0.000 visitor.py:92(<genexpr>)
    90007    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
